from,to,hundredth,thousandth
1201,5329,0,0
1201,5331,0,0
1201,5333,0,0
1201,5334,0,0
1201,5401,1,0
1201,5402,0,0
1201,5403,3,0
1201,5404,0,0
1201,5405,2,0
1201,5406,1,0
1201,5425,0,0
1201,6101,20,2
1201,6102,0,0
1201,6103,6,1
1201,6104,6,1
1201,6105,8,1
1201,6106,3,0
1201,6107,16,2
1201,6108,4,0
1201,6109,9,1
1201,6110,2,0
1201,6201,8,1
1201,6202,6,1
1201,6203,2,0
1201,6204,2,0
1201,6205,8,1
1201,6206,1,0
1201,6207,0,0
1201,6208,5,1
1201,6209,3,0
1201,6210,4,0
1201,6211,1,0
1201,6212,4,0
1201,6229,4,0
1201,6230,0,0
1201,6301,6,1
1201,6302,5,1
1201,6322,0,0
1201,6323,0,0
1201,6325,0,0
1201,6326,0,0
1201,6327,0,0
1201,6328,0,0
1201,6401,9,1
1201,6402,3,0
1201,6403,2,0
1201,6404,1,0
1201,6405,4,0
1201,6501,7,1
1201,6502,4,0
1201,6504,1,0
1201,6505,0,0
1201,6523,5,1
1201,6527,2,0
1201,6528,2,0
1201,6529,0,0
1201,6530,0,0
1201,6531,1,0
1201,6532,0,0
1201,6540,9,1
1201,6542,6,1
1201,6543,2,0
1201,6590,6,1
1301,90,0,0
1301,1101,25,3
1301,1201,34,3
1301,1301,84346,8435
1301,1302,154,15
1301,1303,53,5
1301,1304,291,29
1301,1305,344,34
1301,1306,376,38
1301,1307,131,13
1301,1308,89,9
1301,1309,145,15
1301,1310,56,6
1301,1311,181,18
1301,1401,17,2
1301,1402,7,1
1301,1403,14,1
1301,1404,10,1
1301,1405,0,0
1301,1406,0,0
1301,1407,25,3
1301,1408,24,2
1301,1409,10,1
1301,1410,9,1
1301,1411,7,1
1301,1501,8,1
1301,1502,5,1
1301,1503,2,0
1301,1504,18,2
1301,1505,4,0
1301,1506,2,0
1301,1507,3,0
1301,1508,1,0
1301,1509,5,1
1301,1522,1,0
1301,1525,1,0
1301,1529,2,0
1301,2101,8,1
1301,2102,4,0
1301,2103,0,0
1301,2104,1,0
1301,2105,6,1
1301,2106,1,0
1301,2107,3,0
1301,2108,1,0
1301,2109,3,0
1301,2110,2,0
1301,2111,1,0
1301,2112,2,0
1301,2113,3,0
1301,2114,6,1
1301,2201,4,0
1301,2202,4,0
1301,2203,2,0
1301,2204,0,0
1301,2205,2,0
1301,2206,1,0
1301,2207,1,0
1301,2208,0,0
1301,2224,6,1
1301,2301,20,2
1301,2302,8,1
1301,2303,2,0
1301,2304,0,0
1301,2305,2,0
1301,2306,3,0
1301,2307,21,2
1301,2308,3,0
1301,2309,0,0
1301,2310,2,0
1301,2311,2,0
1301,2312,6,1
1301,2327,0,0
1301,3101,3,0
1301,3201,8,1
1301,3202,1,0
1301,3203,8,1
1301,3204,4,0
1301,3205,5,1
1301,3206,32,3
1301,3207,1,0
1301,3208,2,0
1301,3209,4,0
1301,3210,5,1
1301,3211,1,0
1301,3212,4,0
1301,3213,2,0
1301,3301,4,0
1301,3302,5,1
1301,3303,71,7
1301,3304,1,0
1301,3305,0,0
1301,3306,4,0
1301,3307,14,1
1301,3308,4,0
1301,3309,0,0
1301,3310,13,1
1301,3311,5,1
1301,3401,5,1
1301,3402,3,0
1301,3403,2,0
1301,3404,3,0
1301,3405,11,1
1301,3406,0,0
1301,3407,0,0
1301,3408,5,1
1301,3410,2,0
1301,3411,4,0
1301,3412,25,3
1301,3413,5,1
1301,3415,1,0
1301,3416,7,1
1301,3417,0,0
1301,3418,1,0
1301,3501,3,0
1301,3502,0,0
1301,3503,7,1
1301,3504,0,0
1301,3505,12,1
1301,3506,0,0
1301,3507,5,1
1301,3508,2,0
1301,3509,3,0
1301,3601,2,0
1301,3602,1,0
1301,3603,1,0
1301,3604,1,0
1301,3605,0,0
1301,3606,0,0
1301,3607,6,1
1301,3608,1,0
1301,3609,2,0
1301,3610,1,0
1301,3611,4,0
1301,3701,7,1
1301,3702,3,0
1301,3703,1,0
1301,3704,0,0
1301,3705,3,0
1301,3706,2,0
1301,3707,4,0
1301,3708,3,0
1301,3709,4,0
1301,3710,2,0
1301,3711,2,0
1301,3713,0,0
1301,3714,7,1
1301,3715,16,2
1301,3716,2,0
1301,3717,3,0
1301,4101,8,1
1301,4102,7,1
1301,4103,10,1
1301,4104,3,0
1301,4105,11,1
1301,4106,1,0
1301,4107,4,0
1301,4108,2,0
1301,4109,17,2
1301,4110,13,1
1301,4111,5,1
1301,4112,0,0
1301,4113,16,2
1301,4114,14,1
1301,4115,26,3
1301,4116,42,4
1301,4117,25,3
1301,4201,14,1
1301,4202,3,0
1301,4203,4,0
1301,4205,5,1
1301,4206,9,1
1301,4207,0,0
1301,4208,8,1
1301,4209,15,2
1301,4210,6,1
1301,4211,3,0
1301,4212,1,0
1301,4213,1,0
1301,4228,5,1
1301,4290,4,0
1301,4301,4,0
1301,4302,4,0
1301,4303,0,0
1301,4304,7,1
1301,4305,4,0
1301,4306,2,0
1301,4307,1,0
1301,4308,1,0
1301,4309,1,0
1301,4310,0,0
1301,4311,0,0
1301,4312,3,0
1301,4313,4,0
1301,4331,1,0
1301,4401,3,0
1301,4402,0,0
1301,4403,0,0
1301,4404,0,0
1301,4405,4,0
1301,4406,0,0
1301,4407,3,0
1301,4408,1,0
1301,4409,1,0
1301,4412,0,0
1301,4413,3,0
1301,4414,3,0
1301,4415,1,0
1301,4416,3,0
1301,4417,2,0
1301,4418,3,0
1301,4419,1,0
1301,4420,0,0
1301,4451,1,0
1301,4452,11,1
1301,4453,0,0
1301,4501,3,0
1301,4502,0,0
1301,4503,2,0
1301,4504,0,0
1301,4505,0,0
1301,4506,0,0
1301,4507,0,0
1301,4508,0,0
1301,4509,1,0
1301,4510,0,0
1301,4511,1,0
1301,4512,0,0
1301,4513,1,0
1301,4514,0,0
1301,4601,0,0
1301,4602,0,0
1301,4690,1,0
1301,5000,14,1
1301,5101,12,1
1301,5103,10,1
1301,5104,1,0
1301,5105,8,1
1301,5106,2,0
1301,5107,12,1
1301,5108,6,1
1301,5109,4,0
1301,5110,8,1
1301,5111,3,0
1301,5113,7,1
1301,5114,2,0
1301,5115,12,1
1301,5116,2,0
1301,5117,18,2
1301,5118,1,0
1301,5119,12,1
1301,5120,1,0
1301,5132,0,0
1301,5133,0,0
1301,5134,2,0
1301,5201,4,0
1301,5202,0,0
1301,5203,0,0
1301,5204,4,0
1301,5205,2,0
1301,5206,1,0
1301,5223,1,0
1301,5226,0,0
1301,5227,2,0
1301,5301,5,1
1301,5303,2,0
1301,5304,3,0
1301,5305,0,0
1301,5306,5,1
1301,5307,2,0
1301,5308,0,0
1301,5309,0,0
1301,5323,0,0
1301,5325,0,0
1301,5326,2,0
1301,5328,0,0
1301,5329,1,0
1301,5331,1,0
1301,5333,0,0
1301,5334,0,0
1301,5401,0,0
1301,5402,0,0
1301,5403,2,0
1301,5404,0,0
1301,5405,0,0
1301,5406,0,0
1301,5425,0,0
1301,6101,16,2
1301,6102,0,0
1301,6103,0,0
1301,6104,6,1
1301,6105,14,1
1301,6106,0,0
1301,6107,14,1
1301,6108,1,0
1301,6109,22,2
1301,6110,1,0
1301,6201,4,0
1301,6202,0,0
1301,6203,0,0
1301,6204,3,0
1301,6205,3,0
1301,6206,4,0
1301,6207,0,0
1301,6208,3,0
1301,6209,0,0
1301,6210,4,0
1301,6211,3,0
1301,6212,0,0
1301,6229,0,0
1301,6230,0,0
1301,6301,8,1
1301,6302,0,0
1301,6322,0,0
1301,6323,0,0
1301,6325,0,0
1301,6326,0,0
1301,6327,0,0
1301,6328,0,0
1301,6401,1,0
1301,6402,0,0
1301,6403,1,0
1301,6404,0,0
1301,6405,0,0
1301,6501,3,0
1301,6502,0,0
1301,6504,0,0
1301,6505,0,0
1301,6523,0,0
1301,6527,0,0
1301,6528,1,0
1301,6529,2,0
1301,6530,0,0
1301,6531,0,0
1301,6532,0,0
1301,6540,0,0
1301,6542,0,0
1301,6543,2,0
1301,6590,0,0
1302,90,1,0
1302,1101,18,2
1302,1201,37,4
1302,1301,44,4
1302,1302,65369,6537
1302,1303,259,26
1302,1304,26,3
1302,1305,12,1
1302,1306,43,4
1302,1307,20,2
1302,1308,169,17
1302,1309,22,2
1302,1310,21,2
1302,1311,17,2
1302,1401,5,1
1302,1402,4,0
1302,1403,1,0
1302,1404,4,0
1302,1405,1,0
1302,1406,3,0
1302,1407,0,0
1302,1408,7,1
1302,1409,0,0
1302,1410,3,0
1302,1411,1,0
1302,1501,0,0
1302,1502,6,1
1302,1503,1,0
1302,1504,51,5
1302,1505,5,1
1302,1506,0,0
1302,1507,30,3
1302,1508,1,0
1302,1509,2,0
1302,1522,1,0
1302,1525,2,0
1302,1529,0,0
1302,2101,9,1
1302,2102,5,1
1302,2103,3,0
1302,2104,4,0
1302,2105,5,1
1302,2106,5,1
1302,2107,0,0
1302,2108,4,0
1302,2109,1,0
1302,2110,4,0
1302,2111,0,0
1302,2112,5,1
1302,2113,17,2
1302,2114,7,1
1302,2201,12,1
1302,2202,6,1
1302,2203,1,0
1302,2204,16,2
1302,2205,16,2
1302,2206,4,0
1302,2207,5,1
1302,2208,1,0
1302,2224,1,0
1302,2301,39,4
1302,2302,15,2
1302,2303,1,0
1302,2304,6,1
1302,2305,3,0
1302,2306,5,1
1302,2307,24,2
1302,2308,16,2
1302,2309,1,0
1302,2310,2,0
1302,2311,3,0
1302,2312,50,5
1302,2327,0,0
